Account ID,Hosted Zone Name,Name,Type,dns_name
'850077434821,extrameter.com.,extrameter.com.,A,dualstack.extrameter-public-01-1269786398.us-east-1.elb.amazonaws.com.
'850077434821,extrameter.com.,\052.extrameter.com.,A,dualstack.extrameter-public-01-1269786398.us-east-1.elb.amazonaws.com.
'850077434821,extrameter.com.,\052selfstoragedeals.extrameter.com.,A,dualstack.extrameter-public-02-1145088151.us-east-1.elb.amazonaws.com.
'850077434821,extrameter.com.,_4e5fb4a3a83e898923363411903717b2.extrameter.com.,CNAME,_26185ecd1bd1a531f7df496cbd0b5fc9.hkmpvcwbzw.acm-validations.aws.
'850077434821,extrameter.com.,api-storage.extrameter.com.,A,marketplace-preprod-lb-tf-138019699.us-east-1.elb.amazonaws.com.
'850077434821,extrameter.com.,www.api-storage.extrameter.com.,A,marketplace-preprod-lb-tf-138019699.us-east-1.elb.amazonaws.com.
'850077434821,extrameter.com.,billable.extrameter.com.,A,marketplace-preprod-lb-tf-138019699.us-east-1.elb.amazonaws.com.
'850077434821,extrameter.com.,www.billable.extrameter.com.,A,marketplace-preprod-lb-tf-138019699.us-east-1.elb.amazonaws.com.
'850077434821,extrameter.com.,c3p0.extrameter.com.,A,c3p0-stage-lb-969613112.us-east-1.elb.amazonaws.com.
'850077434821,extrameter.com.,www.c3p0.extrameter.com.,A,c3p0-stage-lb-969613112.us-east-1.elb.amazonaws.com.
'850077434821,extrameter.com.,cachews.extrameter.com.,A,d1ww2djakysgpi.cloudfront.net.
'850077434821,extrameter.com.,sparefoot-warehouse.cachews.extrameter.com.,A,d1uvyvjxzt8jha.cloudfront.net.
'850077434821,extrameter.com.,sparefoot.cachews.extrameter.com.,A,d3vgkevuu47vaw.cloudfront.net.
'850077434821,extrameter.com.,sparefootv2.cachews.extrameter.com.,A,d3vgkevuu47vaw.cloudfront.net.
'850077434821,extrameter.com.,www.cachews.extrameter.com.,A,d1ww2djakysgpi.cloudfront.net.
'850077434821,extrameter.com.,clientapiservice-redis.extrameter.com.,CNAME,clientapisvc-stage.yojb1s.ng.0001.use1.cache.amazonaws.com
'850077434821,extrameter.com.,db-dl-downstream.extrameter.com.,CNAME,db-dl-downstream-stage.cluster-c7828cfhilkf.us-east-1.rds.amazonaws.com
'850077434821,extrameter.com.,dockertest.extrameter.com.,A,dualstack.extrameter-public-02-1145088151.us-east-1.elb.amazonaws.com.
'850077434821,extrameter.com.,haproxysiteflipper.extrameter.com.,A,marketplace-preprod-lb-tf-138019699.us-east-1.elb.amazonaws.com.
'850077434821,extrameter.com.,www.haproxysiteflipper.extrameter.com.,A,marketplace-preprod-lb-tf-138019699.us-east-1.elb.amazonaws.com.
'850077434821,extrameter.com.,jobs-01.extrameter.com.,CNAME,ip-10-0-20-143.ec2.internal
'850077434821,extrameter.com.,\052.app.kubernetes.extrameter.com.,A,dualstack.kubernetes-ingress-750921108.us-east-1.elb.amazonaws.com.
